time,event,gate_id,details
18.633,collision,3,referee_active_gate_id=3
18.667,collision,3,referee_active_gate_id=3
18.700,collision,3,referee_active_gate_id=3
18.733,collision,3,referee_active_gate_id=3
18.767,collision,3,referee_active_gate_id=3
18.800,collision,3,referee_active_gate_id=3
18.833,collision,3,referee_active_gate_id=3
18.867,collision,3,referee_active_gate_id=3
18.900,collision,3,referee_active_gate_id=3
18.933,collision,3,referee_active_gate_id=3
18.967,collision,3,referee_active_gate_id=3
19.000,collision,3,referee_active_gate_id=3
19.033,collision,3,referee_active_gate_id=3
19.067,collision,3,referee_active_gate_id=3
19.100,collision,3,referee_active_gate_id=3
19.133,collision,3,referee_active_gate_id=3
19.167,collision,3,referee_active_gate_id=3
19.200,collision,3,referee_active_gate_id=3
19.233,collision,3,referee_active_gate_id=3
19.267,collision,3,referee_active_gate_id=3
19.300,collision,3,referee_active_gate_id=3
19.333,collision,3,referee_active_gate_id=3
19.367,collision,3,referee_active_gate_id=3
19.400,collision,3,referee_active_gate_id=3
19.433,collision,3,referee_active_gate_id=3
19.467,collision,3,referee_active_gate_id=3
19.500,collision,3,referee_active_gate_id=3
19.533,collision,3,referee_active_gate_id=3
19.567,collision,3,referee_active_gate_id=3
19.600,collision,3,referee_active_gate_id=3
19.633,collision,3,referee_active_gate_id=3
19.667,collision,3,referee_active_gate_id=3
19.700,collision,3,referee_active_gate_id=3
19.733,collision,3,referee_active_gate_id=3
19.767,collision,3,referee_active_gate_id=3
19.800,collision,3,referee_active_gate_id=3
19.833,collision,3,referee_active_gate_id=3
19.867,collision,3,referee_active_gate_id=3
19.900,collision,3,referee_active_gate_id=3
19.933,collision,3,referee_active_gate_id=3
19.967,collision,3,referee_active_gate_id=3
20.000,collision,3,referee_active_gate_id=3
20.033,collision,3,referee_active_gate_id=3
20.067,collision,3,referee_active_gate_id=3
20.100,collision,3,referee_active_gate_id=3
20.133,collision,3,referee_active_gate_id=3
20.167,collision,3,referee_active_gate_id=3
20.200,collision,3,referee_active_gate_id=3
20.233,collision,3,referee_active_gate_id=3
20.267,collision,3,referee_active_gate_id=3
20.300,collision,3,referee_active_gate_id=3
20.333,collision,3,referee_active_gate_id=3
20.367,collision,3,referee_active_gate_id=3
20.400,collision,3,referee_active_gate_id=3
20.433,collision,3,referee_active_gate_id=3
20.467,collision,3,referee_active_gate_id=3
20.500,collision,3,referee_active_gate_id=3
20.533,collision,3,referee_active_gate_id=3
20.567,collision,3,referee_active_gate_id=3
20.633,collision,3,referee_active_gate_id=3
20.667,collision,3,referee_active_gate_id=3
20.700,collision,3,referee_active_gate_id=3
20.733,collision,3,referee_active_gate_id=3
20.767,collision,3,referee_active_gate_id=3
20.800,collision,3,referee_active_gate_id=3
20.833,collision,3,referee_active_gate_id=3
20.867,collision,3,referee_active_gate_id=3
20.900,collision,3,referee_active_gate_id=3
20.933,collision,3,referee_active_gate_id=3
20.967,collision,3,referee_active_gate_id=3
21.000,collision,3,referee_active_gate_id=3
21.033,collision,3,referee_active_gate_id=3
21.067,collision,3,referee_active_gate_id=3
21.100,collision,3,referee_active_gate_id=3
21.133,collision,3,referee_active_gate_id=3
21.167,collision,3,referee_active_gate_id=3
21.200,collision,3,referee_active_gate_id=3
21.233,collision,3,referee_active_gate_id=3
21.267,collision,3,referee_active_gate_id=3
21.300,collision,3,referee_active_gate_id=3
21.333,collision,3,referee_active_gate_id=3
21.367,collision,3,referee_active_gate_id=3
21.400,collision,3,referee_active_gate_id=3
21.433,collision,3,referee_active_gate_id=3
21.467,collision,3,referee_active_gate_id=3
21.500,collision,3,referee_active_gate_id=3
21.533,collision,3,referee_active_gate_id=3
21.567,collision,3,referee_active_gate_id=3
21.600,collision,3,referee_active_gate_id=3
21.633,collision,3,referee_active_gate_id=3
21.667,collision,3,referee_active_gate_id=3
21.700,collision,3,referee_active_gate_id=3
21.733,collision,3,referee_active_gate_id=3
21.767,collision,3,referee_active_gate_id=3
21.800,collision,3,referee_active_gate_id=3
21.833,collision,3,referee_active_gate_id=3
21.867,collision,3,referee_active_gate_id=3
21.900,collision,3,referee_active_gate_id=3
21.933,collision,3,referee_active_gate_id=3
21.967,collision,3,referee_active_gate_id=3
22.000,collision,3,referee_active_gate_id=3
23.100,referee_gate_passed,3,
