time,event,gate_id,details
2.233,onboard_phase_changed,1,"from=APPROACH, to=TRANSIT, reason=approach_reached"
3.633,collision,1,referee_active_gate_id=1
3.867,collision,1,referee_active_gate_id=1
3.900,collision,1,referee_active_gate_id=1
3.933,collision,1,referee_active_gate_id=1
3.967,collision,1,referee_active_gate_id=1
4.000,collision,1,referee_active_gate_id=1
4.033,collision,1,referee_active_gate_id=1
4.067,collision,1,referee_active_gate_id=1
4.100,collision,1,referee_active_gate_id=1
4.133,collision,1,referee_active_gate_id=1
4.167,collision,1,referee_active_gate_id=1
4.200,collision,1,referee_active_gate_id=1
4.233,collision,1,referee_active_gate_id=1
4.267,collision,1,referee_active_gate_id=1
4.300,collision,1,referee_active_gate_id=1
4.333,collision,1,referee_active_gate_id=1
4.367,collision,1,referee_active_gate_id=1
4.400,collision,1,referee_active_gate_id=1
4.433,collision,1,referee_active_gate_id=1
4.467,collision,1,referee_active_gate_id=1
4.500,collision,1,referee_active_gate_id=1
4.533,collision,1,referee_active_gate_id=1
4.567,collision,1,referee_active_gate_id=1
4.600,collision,1,referee_active_gate_id=1
4.633,collision,1,referee_active_gate_id=1
4.667,collision,1,referee_active_gate_id=1
4.700,collision,1,referee_active_gate_id=1
4.733,collision,1,referee_active_gate_id=1
4.767,collision,1,referee_active_gate_id=1
4.800,collision,1,referee_active_gate_id=1
4.833,collision,1,referee_active_gate_id=1
4.867,collision,1,referee_active_gate_id=1
4.900,collision,1,referee_active_gate_id=1
4.933,collision,1,referee_active_gate_id=1
4.967,collision,1,referee_active_gate_id=1
5.000,collision,1,referee_active_gate_id=1
5.033,collision,1,referee_active_gate_id=1
5.067,collision,1,referee_active_gate_id=1
5.100,collision,1,referee_active_gate_id=1
5.133,collision,1,referee_active_gate_id=1
5.167,collision,1,referee_active_gate_id=1
5.200,collision,1,referee_active_gate_id=1
5.233,collision,1,referee_active_gate_id=1
5.267,collision,1,referee_active_gate_id=1
5.300,collision,1,referee_active_gate_id=1
5.333,collision,1,referee_active_gate_id=1
5.367,collision,1,referee_active_gate_id=1
5.400,collision,1,referee_active_gate_id=1
5.433,collision,1,referee_active_gate_id=1
5.467,collision,1,referee_active_gate_id=1
5.500,collision,1,referee_active_gate_id=1
5.533,collision,1,referee_active_gate_id=1
5.567,collision,1,referee_active_gate_id=1
5.600,collision,1,referee_active_gate_id=1
5.633,collision,1,referee_active_gate_id=1
5.667,collision,1,referee_active_gate_id=1
5.700,collision,1,referee_active_gate_id=1
5.733,collision,1,referee_active_gate_id=1
5.767,collision,1,referee_active_gate_id=1
5.800,collision,1,referee_active_gate_id=1
5.833,collision,1,referee_active_gate_id=1
5.867,collision,1,referee_active_gate_id=1
5.900,collision,1,referee_active_gate_id=1
5.933,collision,1,referee_active_gate_id=1
5.967,collision,1,referee_active_gate_id=1
6.000,collision,1,referee_active_gate_id=1
6.033,collision,1,referee_active_gate_id=1
6.067,collision,1,referee_active_gate_id=1
6.100,collision,1,referee_active_gate_id=1
6.133,collision,1,referee_active_gate_id=1
6.167,collision,1,referee_active_gate_id=1
6.200,collision,1,referee_active_gate_id=1
6.233,collision,1,referee_active_gate_id=1
6.267,collision,1,referee_active_gate_id=1
6.300,collision,1,referee_active_gate_id=1
6.333,collision,1,referee_active_gate_id=1
6.367,collision,1,referee_active_gate_id=1
6.400,collision,1,referee_active_gate_id=1
6.433,collision,1,referee_active_gate_id=1
6.467,collision,1,referee_active_gate_id=1
6.500,collision,1,referee_active_gate_id=1
6.533,collision,1,referee_active_gate_id=1
6.567,collision,1,referee_active_gate_id=1
6.600,collision,1,referee_active_gate_id=1
6.633,collision,1,referee_active_gate_id=1
6.667,collision,1,referee_active_gate_id=1
6.700,collision,1,referee_active_gate_id=1
6.733,collision,1,referee_active_gate_id=1
6.767,collision,1,referee_active_gate_id=1
6.800,collision,1,referee_active_gate_id=1
6.833,collision,1,referee_active_gate_id=1
6.867,collision,1,referee_active_gate_id=1
6.900,collision,1,referee_active_gate_id=1
6.933,collision,1,referee_active_gate_id=1
6.967,collision,1,referee_active_gate_id=1
7.000,collision,1,referee_active_gate_id=1
7.033,collision,1,referee_active_gate_id=1
7.067,collision,1,referee_active_gate_id=1
7.100,collision,1,referee_active_gate_id=1
7.133,collision,1,referee_active_gate_id=1
7.167,collision,1,referee_active_gate_id=1
7.200,collision,1,referee_active_gate_id=1
7.233,collision,1,referee_active_gate_id=1
7.267,collision,1,referee_active_gate_id=1
7.300,collision,1,referee_active_gate_id=1
7.333,collision,1,referee_active_gate_id=1
7.367,collision,1,referee_active_gate_id=1
7.400,collision,1,referee_active_gate_id=1
7.433,collision,1,referee_active_gate_id=1
7.467,collision,1,referee_active_gate_id=1
7.500,collision,1,referee_active_gate_id=1
7.533,collision,1,referee_active_gate_id=1
7.567,collision,1,referee_active_gate_id=1
7.600,collision,1,referee_active_gate_id=1
7.633,collision,1,referee_active_gate_id=1
7.667,collision,1,referee_active_gate_id=1
7.700,collision,1,referee_active_gate_id=1
7.733,collision,1,referee_active_gate_id=1
7.767,collision,1,referee_active_gate_id=1
7.800,collision,1,referee_active_gate_id=1
7.833,collision,1,referee_active_gate_id=1
7.867,collision,1,referee_active_gate_id=1
7.900,collision,1,referee_active_gate_id=1
7.933,collision,1,referee_active_gate_id=1
7.967,collision,1,referee_active_gate_id=1
8.000,collision,1,referee_active_gate_id=1
8.033,collision,1,referee_active_gate_id=1
8.067,collision,1,referee_active_gate_id=1
8.100,collision,1,referee_active_gate_id=1
8.133,collision,1,referee_active_gate_id=1
8.167,collision,1,referee_active_gate_id=1
8.200,collision,1,referee_active_gate_id=1
8.233,collision,1,referee_active_gate_id=1
8.267,collision,1,referee_active_gate_id=1
8.300,collision,1,referee_active_gate_id=1
8.333,collision,1,referee_active_gate_id=1
8.367,collision,1,referee_active_gate_id=1
8.400,collision,1,referee_active_gate_id=1
8.433,collision,1,referee_active_gate_id=1
8.467,collision,1,referee_active_gate_id=1
8.500,collision,1,referee_active_gate_id=1
8.533,collision,1,referee_active_gate_id=1
8.567,collision,1,referee_active_gate_id=1
8.600,collision,1,referee_active_gate_id=1
8.633,collision,1,referee_active_gate_id=1
8.667,collision,1,referee_active_gate_id=1
8.700,collision,1,referee_active_gate_id=1
8.733,collision,1,referee_active_gate_id=1
8.767,collision,1,referee_active_gate_id=1
8.800,collision,1,referee_active_gate_id=1
8.833,collision,1,referee_active_gate_id=1
8.867,collision,1,referee_active_gate_id=1
8.900,collision,1,referee_active_gate_id=1
8.933,collision,1,referee_active_gate_id=1
8.967,collision,1,referee_active_gate_id=1
9.000,collision,1,referee_active_gate_id=1
9.033,collision,1,referee_active_gate_id=1
9.067,collision,1,referee_active_gate_id=1
9.100,collision,1,referee_active_gate_id=1
9.133,collision,1,referee_active_gate_id=1
9.167,collision,1,referee_active_gate_id=1
9.200,collision,1,referee_active_gate_id=1
9.233,collision,1,referee_active_gate_id=1
9.267,collision,1,referee_active_gate_id=1
9.300,collision,1,referee_active_gate_id=1
9.333,collision,1,referee_active_gate_id=1
9.367,collision,1,referee_active_gate_id=1
9.400,collision,1,referee_active_gate_id=1
9.433,collision,1,referee_active_gate_id=1
9.467,collision,1,referee_active_gate_id=1
9.500,collision,1,referee_active_gate_id=1
9.533,collision,1,referee_active_gate_id=1
9.567,collision,1,referee_active_gate_id=1
9.600,collision,1,referee_active_gate_id=1
9.633,collision,1,referee_active_gate_id=1
9.667,collision,1,referee_active_gate_id=1
9.700,collision,1,referee_active_gate_id=1
9.733,collision,1,referee_active_gate_id=1
9.767,collision,1,referee_active_gate_id=1
9.800,collision,1,referee_active_gate_id=1
9.833,collision,1,referee_active_gate_id=1
9.867,collision,1,referee_active_gate_id=1
9.900,collision,1,referee_active_gate_id=1
9.933,collision,1,referee_active_gate_id=1
9.967,collision,1,referee_active_gate_id=1
