time,x,y,z,yaw_deg,onboard_gate_id,onboard_active_gate_id,onboard_phase,referee_active_gate_id,target_name,target_x,target_y,target_z,distance_to_gate,bearing_error,vertical_error,command_surge,command_sway,command_heave,command_yaw
0.000,-5.0000,-0.0000,-5.0000,-0.0000,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.1763,-11.5216,-0.2500,1.0000,0.0000,-0.1125,-0.0500
0.033,-4.9968,-0.0000,-5.0003,-0.0079,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.1732,-11.5250,-0.2497,1.0000,0.0000,-0.1123,-0.0905
0.067,-4.9907,-0.0000,-5.0010,-0.0300,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.1671,-11.5253,-0.2490,1.0000,0.0000,-0.1121,-0.0905
0.100,-4.9816,-0.0000,-5.0020,-0.0659,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.1581,-11.5225,-0.2480,1.0000,0.0000,-0.1116,-0.0905
0.133,-4.9697,-0.0000,-5.0032,-0.1152,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.1464,-11.5167,-0.2468,1.0000,0.0000,-0.1110,-0.0905
0.167,-4.9550,-0.0000,-5.0048,-0.1776,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.1320,-11.5081,-0.2452,1.0000,0.0000,-0.1103,-0.0904
0.200,-4.9378,-0.0001,-5.0066,-0.2528,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.1150,-11.4968,-0.2434,1.0000,0.0000,-0.1095,-0.0903
0.233,-4.9180,-0.0001,-5.0087,-0.3404,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.0955,-11.4831,-0.2413,1.0000,0.0000,-0.1086,-0.0902
0.267,-4.8958,-0.0002,-5.0111,-0.4402,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.0737,-11.4672,-0.2389,1.0000,0.0000,-0.1075,-0.0901
0.300,-4.8713,-0.0003,-5.0137,-0.5517,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.0496,-11.4493,-0.2363,1.0000,0.0000,-0.1064,-0.0899
0.333,-4.8446,-0.0004,-5.0165,-0.6747,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,3.0233,-11.4298,-0.2335,1.0000,0.0000,-0.1051,-0.0898
0.367,-4.8157,-0.0005,-5.0195,-0.8088,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,2.9949,-11.4090,-0.2305,1.0000,0.0000,-0.1037,-0.0896
0.400,-4.7848,-0.0007,-5.0227,-0.9538,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,2.9645,-11.3872,-0.2273,1.0000,0.0000,-0.1023,-0.0894
0.433,-4.7520,-0.0010,-5.0261,-1.1093,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,2.9322,-11.3647,-0.2239,1.0000,0.0000,-0.1008,-0.0893
0.467,-4.7172,-0.0013,-5.0296,-1.2751,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,2.8980,-11.3421,-0.2204,0.9945,0.0000,-0.0992,-0.0891
0.500,-4.6807,-0.0016,-5.0333,-1.4544,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,2.8622,-11.3161,-0.2167,0.9823,0.0000,-0.0975,-0.0889
0.533,-4.6425,-0.0020,-5.0372,-1.6545,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,2.8246,-11.2795,-0.2128,0.9695,0.0000,-0.0958,-0.0886
0.567,-4.6027,-0.0025,-5.0412,-1.8777,1,1,APPROACH,1,approach,-1.8974,-0.6325,-5.2500,2.7856,-11.2300,-0.2088,0.9563,0.0000,-0.0940,-0.0882
